Config,Run,Seed,Temp,Top-P,Top-K,PP,F1-Micro,F1-Macro,Prec-Macro,Rec-Macro,Prec-Micro,Rec-Micro,Sec/Example
optuna_trial_29,original,original,0.650,0.750,20,1.800,68.409,66.940,72.551,64.651,74.227,63.436,0.000
optuna_trial_29,1,22,0.650,0.750,20,1.800,66.824,66.232,72.012,64.001,72.010,62.335,1.107
optuna_trial_29,2,33,0.650,0.750,20,1.800,66.746,65.996,72.771,63.104,73.037,61.454,1.091
optuna_trial_29,3,44,0.650,0.750,20,1.800,66.509,65.240,71.098,62.984,71.867,61.894,1.099
optuna_trial_29,4,55,0.650,0.750,20,1.800,67.373,65.739,71.932,63.874,72.405,62.996,1.111
optuna_trial_29,mean,,0.650,0.750,20,1.800,67.172,66.030,72.073,63.723,72.709,62.423,0.881
