Config,Run,Seed,Temp,Top-P,Top-K,PP,F1-Micro,F1-Macro,Prec-Macro,Rec-Macro,Prec-Micro,Rec-Micro,Sec/Example
v6_F_refined_9_temp065_topp75,original,original,0.650,0.750,20,2.000,68.340,67.930,74.630,64.970,74.670,63.000,0.000
v6_F_refined_9_temp065_topp75,1,22,0.650,0.750,20,2.000,67.548,65.700,71.780,63.098,74.339,61.894,1.221
v6_F_refined_9_temp065_topp75,2,33,0.650,0.750,20,2.000,67.397,66.872,73.447,63.483,75.272,61.013,1.163
v6_F_refined_9_temp065_topp75,3,44,0.650,0.750,20,2.000,67.231,66.949,74.760,63.161,74.531,61.233,1.200
v6_F_refined_9_temp065_topp75,4,55,0.650,0.750,20,2.000,67.461,66.373,73.194,63.584,73.506,62.335,1.247
v6_F_refined_9_temp065_topp75,mean,,0.650,0.750,20,2.000,67.595,66.765,73.562,63.659,74.464,61.895,0.966
