Config,Run,Seed,Temp,Top-P,Top-K,PP,F1-Micro,F1-Macro,Prec-Macro,Rec-Macro,Prec-Micro,Rec-Micro,Sec/Example
v6_F_refined_7_topp75,original,original,0.700,0.750,20,2.000,67.070,67.450,74.880,64.390,73.490,61.670,0.000
v6_F_refined_7_topp75,1,22,0.700,0.750,20,2.000,67.545,66.375,73.725,63.199,74.016,62.115,1.077
v6_F_refined_7_topp75,2,33,0.700,0.750,20,2.000,68.269,66.395,72.715,63.666,75.132,62.555,1.072
v6_F_refined_7_topp75,3,44,0.700,0.750,20,2.000,67.157,66.494,74.684,62.378,75.691,60.352,1.047
v6_F_refined_7_topp75,4,55,0.700,0.750,20,2.000,67.386,66.223,73.573,63.130,73.947,61.894,1.099
v6_F_refined_7_topp75,mean,,0.700,0.750,20,2.000,67.485,66.588,73.915,63.353,74.455,61.717,0.859
