Config,Temp,Top-P,Top-K,PP,F1-Micro-mean,F1-Macro-mean,Prec-Macro-mean,Rec-Macro-mean,Prec-Micro-mean,Rec-Micro-mean
v6_F_refined_9_temp065_topp75,0.65,0.75,20,2.0,67.59537785316773,66.76484976975885,73.56236363636364,63.65922366522368,74.46353761494967,61.89515418502202
v6_F_refined_5_pp18,0.7,0.8,20,1.8,66.38261069056679,65.25413867613865,71.7911822991823,62.700376623376634,72.12584646293979,61.49873127753303
v6_F_cons_off_pres,0.7,0.8,20,2.0,66.62863700873626,65.49981678927132,72.85519191919192,62.122699855699864,73.78301568770506,60.74804405286344
v6_F_refined_7_topp75,0.7,0.75,20,2.0,67.48541896421357,66.58760777942595,73.91539393939395,63.35256709956711,74.45519986392608,61.71725991189427
optuna_trial_15_best,0.68,0.72,20,1.8,68.1040066826708,67.15996797814981,73.12674362674363,64.56132756132757,73.82581810309708,63.21585903083701
optuna_trial_10,0.68,0.72,30,1.7,67.31627577666477,66.41540361994906,72.29683742183742,64.14339826839827,72.58207155316849,62.77533039647577
optuna_trial_21,0.65,0.8,20,1.7,68.23657506847074,67.3845312936222,72.95171957671958,65.30988455988458,73.14495515183233,63.9647577092511
optuna_trial_29,0.65,0.75,20,1.8,67.17226074905416,66.02955125682396,72.07281144781146,63.722943722943725,72.70914048383858,62.42290748898679
