Config,Run,Seed,Temp,Top-P,Top-K,PP,F1-Micro,F1-Macro,Prec-Macro,Rec-Macro,Prec-Micro,Rec-Micro,Sec/Example
optuna_trial_21,original,original,0.650,0.800,20,1.700,68.327,67.398,73.346,64.973,74.036,63.436,0.000
optuna_trial_21,1,22,0.650,0.800,20,1.700,67.281,67.731,72.832,66.254,70.531,64.317,1.143
optuna_trial_21,2,33,0.650,0.800,20,1.700,68.845,67.478,72.504,65.535,73.201,64.978,1.124
optuna_trial_21,3,44,0.650,0.800,20,1.700,68.396,67.811,73.415,65.352,73.604,63.877,1.098
optuna_trial_21,4,55,0.650,0.800,20,1.700,68.333,66.505,72.661,64.436,74.352,63.216,1.112
optuna_trial_21,mean,,0.650,0.800,20,1.700,68.237,67.385,72.952,65.310,73.145,63.965,0.896
