Config,Run,Seed,Temp,Top-P,Top-K,PP,F1-Micro,F1-Macro,Prec-Macro,Rec-Macro,Prec-Micro,Rec-Micro,Sec/Example
v6_F_cons_off_pres,original,original,0.700,0.800,20,2.000,67.710,66.280,73.430,63.210,74.730,61.890,0.000
v6_F_cons_off_pres,1,22,0.700,0.800,20,2.000,67.223,65.565,72.626,62.441,73.247,62.115,1.082
v6_F_cons_off_pres,2,33,0.700,0.800,20,2.000,65.690,65.332,73.333,61.299,73.699,59.251,1.056
v6_F_cons_off_pres,3,44,0.700,0.800,20,2.000,65.773,64.832,72.071,61.330,73.569,59.471,1.059
v6_F_cons_off_pres,4,55,0.700,0.800,20,2.000,66.747,65.490,72.816,62.333,73.670,61.013,1.067
v6_F_cons_off_pres,mean,,0.700,0.800,20,2.000,66.629,65.500,72.855,62.123,73.783,60.748,0.853
