Config,Run,Seed,Temp,Top-P,Top-K,PP,F1-Micro,F1-Macro,Prec-Macro,Rec-Macro,Prec-Micro,Rec-Micro,Sec/Example
optuna_trial_10,original,original,0.680,0.720,30,1.700,68.653,67.543,73.737,64.613,74.805,63.436,0.000
optuna_trial_10,1,22,0.680,0.720,30,1.700,66.589,66.758,71.964,65.276,70.343,63.216,1.141
optuna_trial_10,2,33,0.680,0.720,30,1.700,67.376,66.162,72.412,63.786,72.704,62.775,1.093
optuna_trial_10,3,44,0.680,0.720,30,1.700,67.296,66.226,72.210,63.830,72.519,62.775,1.109
optuna_trial_10,4,55,0.680,0.720,30,1.700,66.667,65.388,71.162,63.212,72.539,61.674,1.115
optuna_trial_10,mean,,0.680,0.720,30,1.700,67.316,66.415,72.297,64.143,72.582,62.775,0.891
