Config,Run,Seed,Temp,Top-P,Top-K,PP,F1-Micro,F1-Macro,Prec-Macro,Rec-Macro,Prec-Micro,Rec-Micro,Sec/Example
v6_F_refined_5_pp18,original,original,0.700,0.800,20,1.800,68.180,66.640,73.710,63.510,74.610,62.780,0.000
v6_F_refined_5_pp18,1,22,0.700,0.800,20,1.800,64.755,63.125,69.724,60.825,70.757,59.692,1.163
v6_F_refined_5_pp18,2,33,0.700,0.800,20,1.800,66.121,65.808,70.800,63.906,70.398,62.335,1.128
v6_F_refined_5_pp18,3,44,0.700,0.800,20,1.800,66.587,65.617,72.361,62.852,72.656,61.454,1.097
v6_F_refined_5_pp18,4,55,0.700,0.800,20,1.800,66.269,65.080,72.361,62.409,72.208,61.233,1.094
v6_F_refined_5_pp18,mean,,0.700,0.800,20,1.800,66.383,65.254,71.791,62.700,72.126,61.499,0.896
