Config,Run,Seed,Temp,Top-P,Top-K,PP,F1-Micro,F1-Macro,Prec-Macro,Rec-Macro,Prec-Micro,Rec-Micro,Sec/Example
optuna_trial_15_best,original,original,0.680,0.720,20,1.800,68.957,68.363,74.342,65.611,74.615,64.097,0.000
optuna_trial_15_best,1,22,0.680,0.720,20,1.800,67.765,67.314,73.249,64.922,72.727,63.436,1.097
optuna_trial_15_best,2,33,0.680,0.720,20,1.800,67.069,66.440,72.715,63.534,74.133,61.233,1.070
optuna_trial_15_best,3,44,0.680,0.720,20,1.800,67.453,66.695,72.247,64.348,72.589,62.996,1.099
optuna_trial_15_best,4,55,0.680,0.720,20,1.800,69.276,66.988,73.081,64.392,75.064,64.317,1.115
optuna_trial_15_best,mean,,0.680,0.720,20,1.800,68.104,67.160,73.127,64.561,73.826,63.216,0.876
